nif;nome_clinica;dia_da_semana
187494696;Clinica Almada Saúde;6
345417412;Clinica Lisboa Central;0
345417412;Clinica Cascais Bem-Estar;1
345417412;Clinica Lisboa Central;2
345417412;Clinica Lisboa Central;3
345417412;Clinica Almada Saúde;4
345417412;Clinica Almada Saúde;5
345417412;Clinica Oeiras Saúde;6
056177382;Clinica Almada Saúde;0
056177382;Clinica Lisboa Central;1
056177382;Clinica Sintra Cuidados;2
056177382;Clinica Almada Saúde;3
056177382;Clinica Cascais Bem-Estar;4
056177382;Clinica Lisboa Central;5
056177382;Clinica Almada Saúde;6
836824185;Clinica Lisboa Central;0
836824185;Clinica Cascais Bem-Estar;1
836824185;Clinica Lisboa Central;2
836824185;Clinica Lisboa Central;3
836824185;Clinica Sintra Cuidados;4
836824185;Clinica Cascais Bem-Estar;5
836824185;Clinica Lisboa Central;6
767309428;Clinica Sintra Cuidados;0
767309428;Clinica Oeiras Saúde;1
767309428;Clinica Oeiras Saúde;2
767309428;Clinica Almada Saúde;3
767309428;Clinica Lisboa Central;4
767309428;Clinica Oeiras Saúde;5
767309428;Clinica Sintra Cuidados;6
748230282;Clinica Sintra Cuidados;0
748230282;Clinica Sintra Cuidados;1
748230282;Clinica Almada Saúde;2
748230282;Clinica Sintra Cuidados;3
748230282;Clinica Sintra Cuidados;4
748230282;Clinica Oeiras Saúde;5
748230282;Clinica Sintra Cuidados;6
834578607;Clinica Sintra Cuidados;0
834578607;Clinica Cascais Bem-Estar;1
834578607;Clinica Oeiras Saúde;2
834578607;Clinica Sintra Cuidados;3
834578607;Clinica Lisboa Central;4
834578607;Clinica Lisboa Central;5
834578607;Clinica Almada Saúde;6
960771402;Clinica Sintra Cuidados;0
960771402;Clinica Almada Saúde;1
960771402;Clinica Almada Saúde;2
960771402;Clinica Lisboa Central;3
960771402;Clinica Almada Saúde;4
960771402;Clinica Cascais Bem-Estar;5
960771402;Clinica Almada Saúde;6
825983694;Clinica Lisboa Central;0
825983694;Clinica Cascais Bem-Estar;1
825983694;Clinica Cascais Bem-Estar;2
825983694;Clinica Sintra Cuidados;3
825983694;Clinica Sintra Cuidados;4
825983694;Clinica Sintra Cuidados;5
825983694;Clinica Lisboa Central;6
693432813;Clinica Cascais Bem-Estar;0
693432813;Clinica Sintra Cuidados;1
693432813;Clinica Cascais Bem-Estar;2
693432813;Clinica Lisboa Central;3
693432813;Clinica Cascais Bem-Estar;4
693432813;Clinica Sintra Cuidados;5
693432813;Clinica Sintra Cuidados;6
369787701;Clinica Almada Saúde;0
369787701;Clinica Almada Saúde;1
369787701;Clinica Sintra Cuidados;2
369787701;Clinica Lisboa Central;3
369787701;Clinica Oeiras Saúde;4
369787701;Clinica Cascais Bem-Estar;5
369787701;Clinica Cascais Bem-Estar;6
529921121;Clinica Lisboa Central;0
529921121;Clinica Sintra Cuidados;1
529921121;Clinica Sintra Cuidados;2
529921121;Clinica Almada Saúde;3
529921121;Clinica Cascais Bem-Estar;4
529921121;Clinica Oeiras Saúde;5
529921121;Clinica Sintra Cuidados;6
035287077;Clinica Almada Saúde;0
035287077;Clinica Cascais Bem-Estar;1
035287077;Clinica Sintra Cuidados;2
035287077;Clinica Sintra Cuidados;3
035287077;Clinica Oeiras Saúde;4
035287077;Clinica Lisboa Central;5
035287077;Clinica Cascais Bem-Estar;6
341053825;Clinica Almada Saúde;0
341053825;Clinica Cascais Bem-Estar;1
341053825;Clinica Oeiras Saúde;2
341053825;Clinica Almada Saúde;3
341053825;Clinica Almada Saúde;4
341053825;Clinica Oeiras Saúde;5
341053825;Clinica Lisboa Central;6
202466748;Clinica Sintra Cuidados;0
202466748;Clinica Oeiras Saúde;1
202466748;Clinica Lisboa Central;2
202466748;Clinica Cascais Bem-Estar;3
202466748;Clinica Almada Saúde;4
202466748;Clinica Sintra Cuidados;5
202466748;Clinica Sintra Cuidados;6
421984761;Clinica Almada Saúde;0
421984761;Clinica Cascais Bem-Estar;1
421984761;Clinica Oeiras Saúde;2
421984761;Clinica Sintra Cuidados;3
421984761;Clinica Sintra Cuidados;4
421984761;Clinica Lisboa Central;5
421984761;Clinica Almada Saúde;6
722950185;Clinica Oeiras Saúde;0
722950185;Clinica Oeiras Saúde;1
722950185;Clinica Oeiras Saúde;2
722950185;Clinica Oeiras Saúde;3
722950185;Clinica Lisboa Central;4
722950185;Clinica Almada Saúde;5
722950185;Clinica Almada Saúde;6
752612207;Clinica Cascais Bem-Estar;0
752612207;Clinica Lisboa Central;1
752612207;Clinica Oeiras Saúde;2
752612207;Clinica Cascais Bem-Estar;3
752612207;Clinica Oeiras Saúde;4
752612207;Clinica Almada Saúde;5
752612207;Clinica Cascais Bem-Estar;6
692336303;Clinica Almada Saúde;0
692336303;Clinica Almada Saúde;1
692336303;Clinica Cascais Bem-Estar;2
692336303;Clinica Almada Saúde;3
692336303;Clinica Almada Saúde;4
692336303;Clinica Oeiras Saúde;5
692336303;Clinica Lisboa Central;6
235851223;Clinica Lisboa Central;0
235851223;Clinica Lisboa Central;1
235851223;Clinica Sintra Cuidados;2
235851223;Clinica Almada Saúde;3
235851223;Clinica Oeiras Saúde;4
235851223;Clinica Almada Saúde;5
235851223;Clinica Cascais Bem-Estar;6
698593894;Clinica Cascais Bem-Estar;0
698593894;Clinica Oeiras Saúde;1
698593894;Clinica Lisboa Central;2
698593894;Clinica Sintra Cuidados;3
698593894;Clinica Sintra Cuidados;4
698593894;Clinica Cascais Bem-Estar;5
698593894;Clinica Oeiras Saúde;6
203310883;Clinica Lisboa Central;0
203310883;Clinica Lisboa Central;1
203310883;Clinica Sintra Cuidados;2
203310883;Clinica Sintra Cuidados;3
203310883;Clinica Oeiras Saúde;4
203310883;Clinica Cascais Bem-Estar;5
203310883;Clinica Sintra Cuidados;6
912552895;Clinica Sintra Cuidados;0
912552895;Clinica Oeiras Saúde;1
912552895;Clinica Cascais Bem-Estar;2
912552895;Clinica Oeiras Saúde;3
912552895;Clinica Almada Saúde;4
912552895;Clinica Lisboa Central;5
912552895;Clinica Almada Saúde;6
512275958;Clinica Lisboa Central;0
512275958;Clinica Lisboa Central;1
512275958;Clinica Sintra Cuidados;2
512275958;Clinica Almada Saúde;3
512275958;Clinica Oeiras Saúde;4
512275958;Clinica Almada Saúde;5
512275958;Clinica Oeiras Saúde;6
643820017;Clinica Lisboa Central;0
643820017;Clinica Almada Saúde;1
643820017;Clinica Cascais Bem-Estar;2
643820017;Clinica Lisboa Central;3
643820017;Clinica Almada Saúde;4
643820017;Clinica Oeiras Saúde;5
643820017;Clinica Lisboa Central;6
325681408;Clinica Oeiras Saúde;0
325681408;Clinica Sintra Cuidados;1
325681408;Clinica Oeiras Saúde;2
325681408;Clinica Almada Saúde;3
325681408;Clinica Oeiras Saúde;4
325681408;Clinica Cascais Bem-Estar;5
325681408;Clinica Oeiras Saúde;6
405565897;Clinica Lisboa Central;0
405565897;Clinica Oeiras Saúde;1
405565897;Clinica Oeiras Saúde;2
405565897;Clinica Cascais Bem-Estar;3
405565897;Clinica Sintra Cuidados;4
405565897;Clinica Lisboa Central;5
405565897;Clinica Lisboa Central;6
658878748;Clinica Almada Saúde;0
658878748;Clinica Lisboa Central;1
658878748;Clinica Lisboa Central;2
658878748;Clinica Lisboa Central;3
658878748;Clinica Almada Saúde;4
658878748;Clinica Cascais Bem-Estar;5
658878748;Clinica Almada Saúde;6
435973925;Clinica Cascais Bem-Estar;0
435973925;Clinica Cascais Bem-Estar;1
435973925;Clinica Oeiras Saúde;2
435973925;Clinica Sintra Cuidados;3
435973925;Clinica Oeiras Saúde;4
435973925;Clinica Lisboa Central;5
435973925;Clinica Lisboa Central;6
132361243;Clinica Cascais Bem-Estar;0
132361243;Clinica Oeiras Saúde;1
132361243;Clinica Oeiras Saúde;2
132361243;Clinica Almada Saúde;3
132361243;Clinica Cascais Bem-Estar;4
132361243;Clinica Lisboa Central;5
132361243;Clinica Cascais Bem-Estar;6
250378517;Clinica Cascais Bem-Estar;0
250378517;Clinica Cascais Bem-Estar;1
250378517;Clinica Sintra Cuidados;2
250378517;Clinica Oeiras Saúde;3
250378517;Clinica Lisboa Central;4
250378517;Clinica Almada Saúde;5
250378517;Clinica Sintra Cuidados;6
803645693;Clinica Oeiras Saúde;0
803645693;Clinica Sintra Cuidados;1
803645693;Clinica Lisboa Central;2
803645693;Clinica Oeiras Saúde;3
803645693;Clinica Oeiras Saúde;4
803645693;Clinica Sintra Cuidados;5
803645693;Clinica Oeiras Saúde;6
222327586;Clinica Sintra Cuidados;0
222327586;Clinica Oeiras Saúde;1
222327586;Clinica Almada Saúde;2
222327586;Clinica Oeiras Saúde;3
222327586;Clinica Almada Saúde;4
222327586;Clinica Sintra Cuidados;5
222327586;Clinica Oeiras Saúde;6
164295890;Clinica Oeiras Saúde;0
164295890;Clinica Sintra Cuidados;1
164295890;Clinica Almada Saúde;2
164295890;Clinica Cascais Bem-Estar;3
164295890;Clinica Lisboa Central;4
164295890;Clinica Almada Saúde;5
164295890;Clinica Cascais Bem-Estar;6
646282843;Clinica Sintra Cuidados;0
646282843;Clinica Lisboa Central;1
646282843;Clinica Cascais Bem-Estar;2
646282843;Clinica Cascais Bem-Estar;3
646282843;Clinica Sintra Cuidados;4
646282843;Clinica Sintra Cuidados;5
646282843;Clinica Cascais Bem-Estar;6
929980337;Clinica Sintra Cuidados;0
929980337;Clinica Oeiras Saúde;1
929980337;Clinica Cascais Bem-Estar;2
929980337;Clinica Lisboa Central;3
929980337;Clinica Lisboa Central;4
929980337;Clinica Almada Saúde;5
929980337;Clinica Almada Saúde;6
270058404;Clinica Oeiras Saúde;0
270058404;Clinica Lisboa Central;1
270058404;Clinica Cascais Bem-Estar;2
270058404;Clinica Oeiras Saúde;3
270058404;Clinica Almada Saúde;4
270058404;Clinica Almada Saúde;5
270058404;Clinica Sintra Cuidados;6
226983765;Clinica Sintra Cuidados;0
226983765;Clinica Sintra Cuidados;1
226983765;Clinica Cascais Bem-Estar;2
226983765;Clinica Lisboa Central;3
226983765;Clinica Oeiras Saúde;4
226983765;Clinica Sintra Cuidados;5
226983765;Clinica Lisboa Central;6
070456109;Clinica Cascais Bem-Estar;0
070456109;Clinica Sintra Cuidados;1
070456109;Clinica Oeiras Saúde;2
070456109;Clinica Cascais Bem-Estar;3
070456109;Clinica Oeiras Saúde;4
070456109;Clinica Cascais Bem-Estar;5
070456109;Clinica Lisboa Central;6
099263841;Clinica Oeiras Saúde;0
099263841;Clinica Sintra Cuidados;1
099263841;Clinica Almada Saúde;2
099263841;Clinica Cascais Bem-Estar;3
099263841;Clinica Lisboa Central;4
099263841;Clinica Lisboa Central;5
099263841;Clinica Lisboa Central;6
535535905;Clinica Lisboa Central;0
535535905;Clinica Sintra Cuidados;1
535535905;Clinica Almada Saúde;2
535535905;Clinica Oeiras Saúde;3
535535905;Clinica Cascais Bem-Estar;4
535535905;Clinica Almada Saúde;5
535535905;Clinica Sintra Cuidados;6
812718389;Clinica Sintra Cuidados;0
812718389;Clinica Almada Saúde;1
812718389;Clinica Almada Saúde;2
812718389;Clinica Cascais Bem-Estar;3
812718389;Clinica Almada Saúde;4
812718389;Clinica Oeiras Saúde;5
812718389;Clinica Lisboa Central;6
205278364;Clinica Lisboa Central;0
205278364;Clinica Oeiras Saúde;1
205278364;Clinica Almada Saúde;2
205278364;Clinica Lisboa Central;3
205278364;Clinica Cascais Bem-Estar;4
205278364;Clinica Almada Saúde;5
205278364;Clinica Lisboa Central;6
951872611;Clinica Almada Saúde;0
951872611;Clinica Almada Saúde;1
951872611;Clinica Cascais Bem-Estar;2
951872611;Clinica Oeiras Saúde;3
951872611;Clinica Lisboa Central;4
951872611;Clinica Cascais Bem-Estar;5
951872611;Clinica Cascais Bem-Estar;6
190442096;Clinica Sintra Cuidados;0
190442096;Clinica Lisboa Central;1
190442096;Clinica Sintra Cuidados;2
190442096;Clinica Sintra Cuidados;3
190442096;Clinica Almada Saúde;4
190442096;Clinica Sintra Cuidados;5
190442096;Clinica Lisboa Central;6
830515546;Clinica Oeiras Saúde;0
830515546;Clinica Almada Saúde;1
830515546;Clinica Lisboa Central;2
830515546;Clinica Cascais Bem-Estar;3
830515546;Clinica Almada Saúde;4
830515546;Clinica Cascais Bem-Estar;5
830515546;Clinica Sintra Cuidados;6
