ssn;nif;nome;telefone;morada;data_nasc
91756888227;648462759;Joaquim Teixeira;975478922;Rua das Magnólias, 34, 9240-237 Funchal;'2023-08-15'
20721453085;784904502;Isabel Lopes;973080724;Travessa do Horizonte, 72, 9386-682 Funchal;'1988-08-06'
61159529061;730787973;Isabel Mota;970305894;Avenida da Lua, 85, 7181-185 Évora;'2013-12-31'
24389160122;911364615;Luís Quaresma;925193621;Travessa das Papoilas, 93, 2650-567 Amadora;'2001-07-04'
23910840437;135606069;Nuno Borges;977960871;Rua das Margaridas, 55, 2712-654 Sintra;'1993-01-05'
16238301163;404896618;Andreia Valente;970769200;Travessa das Oliveiras, 86, 9072-339 Funchal;'1985-02-19'
90572842385;576006333;Luís Simões;966843672;Praça das Estrelas, 53, 3129-056 Coimbra;'2000-10-18'
30981171713;598322318;Íris Pires;900718509;Rua das Oliveiras, 73, 2431-900 Leiria;'1999-07-11'
31052153135;486266780;Daniela Duarte;977784078;Avenida dos Ventos, 35, 4164-564 Porto;'1971-11-20'
03224040896;282053731;Sofia Santiago;970941347;Praça de Espanha, 99, 1968-321 Lisboa;'1973-12-13'
45031650793;120217802;Luís Jesus;910161878;Rua das Margaridas, 44, 9056-657 Funchal;'1950-04-08'
65869179404;229058075;Paulo Pereirinha;923319586;Rua das Margaridas, 75, 2849-840 Almada;'1998-10-29'
98569963834;862887285;Jorge Cardoso;997741647;Avenida das Rosas, 17, 5667-478 Bragança;'2004-02-02'
11477188007;557195883;Andreia Branco;990230895;Rua dos Narcisos, 39, 4975-079 Braga;'1952-06-30'
56331300876;378142723;Patrícia Santos;998836450;Avenida das Colinas, 99, 2463-945 Leiria;'1961-05-22'
42266076744;577155053;Júlio Machado;975856557;Rua das Oliveiras, 25, 1918-562 Lisboa;'1999-03-04'
43972514015;796302929;Kevin Borges;901118802;Travessa do Bosque, 4, 2991-082 Setúbal;'2003-05-09'
40461459325;602800326;Marisa Ramos;912432549;Praça da Harmonia, 14, 2647-436 Cascais;'1967-04-28'
89876968338;649026944;Ricardo Neves;943984950;Avenida das Colinas, 94, 7346-788 Évora;'1999-10-29'
05223787073;403482872;Fernando Correia;986310043;Travessa das Rosas, 38, 2889-632 Almada;'1952-10-31'
59741372611;481626669;Júlio Borges;914318051;Travessa do Sol, 90, 5083-122 Braga;'2017-05-18'
34598167500;763622849;Ricardo Ferreira;917803405;Praça dos Sonhos, 40, 9361-432 Funchal;'1953-04-14'
89720428440;414818894;Beatriz Miranda;911637276;Praça dos Sonhos, 40, 2650-990 Amadora;'2004-04-06'
71931393269;480536602;Hélio Leal;919509139;Rua dos Narcisos, 24, 9252-875 Funchal;'2007-09-16'
07267433092;549070053;Andreia Reis;976182533;Rua das Amendoeiras, 29, 4841-328 Guimarães;'2007-02-25'
20720598599;923011565;Lara Braga;948636332;Praça dos Desejos, 93, 4904-523 Viana do Castelo;'1953-02-25'
30581944512;337434167;Rita Machado;967012182;Avenida da Lua, 55, 3263-193 Coimbra;'2020-10-13'
99357554466;097397977;Luís Moreira;955996184;Rua das Magnólias, 19, 2444-200 Leiria;'1953-08-25'
05186949166;790836063;Margarida Freitas;929420480;Avenida das Fontes, 9, 7119-027 Évora;'1990-03-06'
92577251509;602437866;Andreia Valente;958046357;Travessa dos Lírios, 23, 4753-746 Vila Nova de Gaia;'1973-01-11'
20831728618;500031435;Daniela Gomes;954115974;Travessa dos Lírios, 38, 4650-053 Vila Nova de Gaia;'1953-02-07'
00478867947;232977084;Gonçalo Pacheco;916383426;Travessa do Mar, 5, 8029-585 Faro;'1955-02-15'
95609180240;469928243;Tatiana Correia;942708459;Rua dos Jasmins, 60, 9294-664 Funchal;'2020-08-24'
76023581653;012312397;Dinis Figueiredo;908657365;Avenida dos Ventos, 31, 4526-534 Vila Nova de Gaia;'1975-06-23'
64272861594;450940346;Cristina Correia;909161209;Rua das Flores, 65, 1651-160 Lisboa;'1970-07-27'
34172048528;100103312;Andreia Pessoa;915242823;Avenida dos Aliados, 51, 5376-311 Bragança;'1977-08-21'
68823523315;008410412;Simone Tavares;982433559;Avenida dos Oceanos, 53, 2829-466 Almada;'1956-12-05'
51856451756;148993263;António Valente;938456257;Avenida da Lua, 38, 3283-814 Coimbra;'2010-12-08'
55838900705;885956233;Filipa Piedade;936999280;Praça da Liberdade, 6, 7216-535 Évora;'2020-03-25'
51364028213;593125274;Ricardo Sousa;943806447;Travessa dos Lírios, 49, 9121-611 Funchal;'2014-01-09'
06964965987;684556877;Paulo Sousa;990661546;Praça da Serenidade, 30, 9244-661 Funchal;'2006-07-04'
49402762485;071768114;Simão Machado;987613793;Travessa das Papoilas, 76, 5405-433 Bragança;'1987-07-07'
62676612079;111774827;Fábio Fonseca;954995556;Avenida da República, 8, 7032-850 Évora;'1977-04-29'
14331566266;515235548;Eduardo Moura;905076724;Praça das Estrelas, 90, 4829-248 Guimarães;'1960-10-03'
79474500602;943120796;Vânia Simões;992302898;Praça do Amor, 47, 9311-398 Funchal;'1983-07-11'
25084658172;716813564;Patrícia Ramos;989781038;Praça da Sé, 30, 4956-062 Braga;'2003-06-20'
58634393783;261585225;Josué Costa;905136692;Praça do Amor, 34, 2648-725 Cascais;'2015-12-14'
73776790635;970575628;Jacinto Henriques;951583794;Praça das Estrelas, 30, 5606-801 Bragança;'1973-10-05'
21063087806;793341241;Simone Amorim;920532651;Praça da Sé, 17, 9253-489 Funchal;'1979-05-11'
37529839091;257355734;Sofia Neves;959236011;Praça da Harmonia, 68, 4322-960 Porto;'1967-01-12'
64971315877;668877626;Ana Luísa Batista;934505136;Praça do Sonho, 78, 4344-412 Porto;'1998-03-12'
44035849960;210170787;Margarida Reis;967801680;Rua dos Jasmins, 12, 5658-905 Bragança;'1992-07-20'
58738881835;796805339;Júlia Ribeiro;996816414;Praça da Liberdade, 88, 9239-517 Funchal;'1982-05-10'
64990684907;413620796;Luís Pessoa;940355218;Avenida da Montanha, 53, 2780-096 Oeiras;'1954-07-19'
46350787582;884587853;Dinis Borges;925518172;Rua dos Narcisos, 81, 5354-820 Bragança;'1987-05-22'
17375035670;459375313;Bianca Santos;959597112;Praça da Paz, 22, 5634-667 Bragança;'1958-11-22'
83806731860;362476478;Inês Cardoso;940915917;Travessa do Mar, 19, 9141-498 Funchal;'1971-05-12'
31523421575;506655511;Tatiana Teles;962435285;Travessa das Sombras, 5, 2868-177 Almada;'1985-12-13'
73791606352;192710896;Bianca Brito;926425488;Rua das Orquídeas, 32, 2647-469 Cascais;'2014-03-02'
38234739223;193556899;Hugo Moura;986882627;Avenida das Colinas, 100, 2835-531 Almada;'1996-05-25'
73343991743;831594125;Isabel Pereira;962440293;Avenida dos Ventos, 92, 4070-014 Porto;'2001-12-30'
60303800665;650132312;José Machado;991474625;Avenida da Lua, 58, 2712-189 Sintra;'1988-02-16'
12100125148;688261388;Eva Lopes;971656552;Praça da Serenidade, 89, 7345-246 Évora;'2019-05-22'
44957738233;643927376;Eduardo Duarte;913690345;Rua dos Cravos, 73, 2942-360 Setúbal;'1981-06-30'
70933078065;559878894;Joaquim Henriques;941604870;Avenida dos Oceanos, 26, 7167-522 Évora;'1992-09-20'
72254028331;935533332;António Neves;961477858;Travessa das Marés, 58, 4793-404 Vila Nova de Gaia;'1977-10-08'
08838317120;624916825;Eva Silva;900838308;Travessa da Esperança, 20, 8056-045 Faro;'1951-04-26'
60765648857;043317266;Inês Figueiredo;981994418;Travessa do Horizonte, 31, 2712-972 Sintra;'1989-06-22'
53744211974;313698801;José Jesus;902555987;Avenida da Montanha, 19, 5324-596 Bragança;'1962-06-02'
69942740118;409768675;Fernanda Santana;962476341;Rua das Oliveiras, 13, 2645-684 Cascais;'1961-08-13'
64873057760;150403128;Ricardo Reis;935879309;Avenida da Montanha, 40, 5631-364 Bragança;'1976-02-19'
18458064814;479029389;João Carvalho;923695054;Travessa das Marés, 93, 5493-257 Bragança;'2016-09-13'
68672927856;612641342;Isabel Baptista;926652668;Avenida da República, 59, 2831-251 Almada;'1968-02-14'
56687521611;972967771;Hugo Tavares;976486869;Rua das Amendoeiras, 54, 4579-135 Vila Nova de Gaia;'1961-12-31'
45334905444;581141552;Eduarda Correia;984164024;Avenida das Acácias, 23, 1285-174 Lisboa;'1996-12-01'
24456785979;698196666;Ricardo Silveira;912930949;Avenida dos Ventos, 40, 4729-126 Vila Nova de Gaia;'1980-04-20'
40468635652;649318619;Patrícia Moura;984159744;Travessa dos Lírios, 84, 2650-906 Amadora;'1993-07-24'
84949509472;080222845;Andreia Fonseca;947868032;Travessa das Sombras, 72, 2864-870 Almada;'1965-07-14'
42231679171;540164332;Vânia Mendes;954224709;Travessa da Felicidade, 50, 2650-409 Amadora;'1979-04-01'
65886074809;830199982;Simão Cruz;923029759;Avenida da Lua, 3, 4086-887 Porto;'1958-03-19'
24384343254;982107808;Leonor Simões;914244327;Rua das Tulipas, 25, 2842-877 Almada;'2011-08-10'
48146664270;476995018;Isabel Batista;981443878;Travessa da Esperança, 45, 4883-881 Guimarães;'1985-07-25'
25940337874;953122766;Pedro Sousa;901210146;Praça do Comércio, 57, 4828-425 Guimarães;'1981-08-20'
53748960552;961367278;Daniela Santos;967913415;Praça dos Desejos, 97, 4863-347 Braga;'2008-05-18'
13349892597;185535001;Eduarda Jesus;962237051;Rua das Margaridas, 32, 2482-863 Leiria;'1982-09-15'
12784559884;837086449;Íris Paiva;968818379;Avenida da Montanha, 55, 1890-328 Lisboa;'1974-11-21'
66160031691;265158235;Ana Luísa Pires;954429245;Rua das Tulipas, 28, 7126-804 Évora;'1983-10-09'
61509538183;101561931;Rita Leal;935698626;Rua das Violetas, 14, 3258-241 Coimbra;'1962-03-08'
27420033039;657102834;Inês Pires;985430000;Travessa das Papoilas, 69, 2650-717 Amadora;'1950-08-07'
00968550900;559172749;Eduardo Araújo;965905273;Rua das Orquídeas, 70, 8053-170 Faro;'2004-05-30'
98888061524;440453408;David Cabral;996985986;Praça da Harmonia, 40, 4865-987 Guimarães;'2008-11-26'
03719591379;242317571;Catarina Machado;969168697;Rua dos Jasmins, 68, 2909-963 Setúbal;'1967-05-10'
41179703229;123668161;Fernando Pereirinha;940741578;Travessa dos Rios, 56, 4092-640 Porto;'2009-03-10'
63834212509;493226574;Carla Martins;956026601;Avenida da Praia, 56, 4897-738 Guimarães;'1952-05-17'
02107559648;250456150;Bianca Pires;921606389;Rua dos Pinheiros, 2, 4956-020 Viana do Castelo;'2021-11-18'
58956781195;182103891;Vasco Carvalho;976233135;Praça da Alegria, 11, 2932-478 Setúbal;'1989-08-21'
99458251634;547600825;Rui Vieira;984434495;Rua das Oliveiras, 8, 4343-755 Porto;'2023-08-12'
17554856842;942942469;Maria Cordeiro;903460678;Avenida dos Pássaros, 75, 2711-128 Sintra;'1973-02-11'
35375390097;380310067;Sofia Cruz;996858576;Praça dos Sonhos, 86, 4959-236 Braga;'1983-08-04'
51973897152;384449492;Fernando Cabral;920754325;Rua das Amendoeiras, 77, 2649-433 Cascais;'1998-01-27'
07657739718;001598039;Manuel Matos;970820375;Rua dos Girassóis, 12, 2974-022 Setúbal;'1970-04-23'
93508705935;263659769;Sara Miranda;906185128;Praça dos Sonhos, 55, 7202-981 Évora;'1981-01-25'
46200105803;722522632;João Henriques;927295754;Avenida das Colinas, 7, 9233-546 Funchal;'1996-02-15'
67515944498;240661334;Kevin Pereirinha;984302442;Rua dos Cravos, 43, 3185-584 Coimbra;'1987-10-07'
34251760478;781146565;Vânia Santiago;929274296;Rua das Amendoeiras, 87, 4916-179 Viana do Castelo;'2023-06-08'
85194496529;260663277;Eduardo Cunha;962376138;Avenida Central, 11, 8302-540 Faro;'1959-08-19'
28923096519;789326977;Eduardo Estevão;959288773;Rua dos Pinheiros, 30, 2715-565 Sintra;'2002-08-08'
47957873363;746781141;Diana Freitas;922161839;Travessa do Bosque, 43, 2887-676 Almada;'1956-10-27'
46254486131;441715109;Ana Luísa Miranda;919106489;Avenida dos Oceanos, 11, 2713-910 Sintra;'2023-11-05'
64158720274;173235275;Júlia Teixeira;934592193;Avenida das Acácias, 72, 4257-144 Porto;'2020-06-20'
17856483620;802830943;António Tavares;983622272;Praça do Sonho, 14, 2419-328 Leiria;'2023-08-04'
31550941214;567049211;David Lourenço;958302252;Rua das Margaridas, 85, 2961-530 Setúbal;'2000-03-23'
43130578911;445065925;Diana Mendes;941271535;Travessa das Oliveiras, 66, 2498-518 Leiria;'2013-10-28'
45525907609;581158448;Pedro Melo;961837350;Praça da Harmonia, 72, 8314-336 Faro;'1965-11-04'
93271685732;951994603;Inês Duarte;966478881;Praça da Sé, 74, 2400-602 Leiria;'1965-03-15'
32984413549;036771766;Júlia Rosa;921683852;Travessa do Bosque, 60, 2846-577 Almada;'1988-08-17'
90024151497;328880673;Paulo Freitas;928539727;Avenida dos Pássaros, 32, 8296-190 Faro;'1975-11-30'
45538039773;243979821;Íris Estevão;962078047;Avenida da República, 47, 2454-413 Leiria;'1992-10-16'
10544969211;806197986;Liliana Cordeiro;998765754;Travessa do Sol, 95, 2711-711 Sintra;'1970-06-06'
25925118813;277318225;Kevin Sousa;914102347;Travessa dos Lírios, 45, 4978-068 Viana do Castelo;'1982-02-22'
82632498772;198313286;Vânia Silva;962019010;Avenida da Montanha, 9, 1172-065 Lisboa;'1978-01-12'
45346512126;420566292;Filipa Freitas;905482162;Travessa dos Lírios, 12, 1346-977 Lisboa;'1956-04-20'
60067871628;301839232;Jacinto Mendes;935043881;Rua das Amendoeiras, 83, 4451-162 Vila Nova de Gaia;'1953-08-30'
62599402911;888190375;Viviane Abreu;938051509;Praça do Comércio, 13, 2650-870 Amadora;'1996-06-13'
13131507943;827736036;Jacinto Duarte;913228318;Travessa das Papoilas, 92, 5491-582 Bragança;'1985-08-24'
78836437260;201546596;Teresa Batista;909051534;Praça do Amor, 41, 4270-997 Porto;'1991-09-21'
50102834110;161684714;Fernando Estevão;934701848;Avenida da Montanha, 100, 8143-976 Faro;'1991-02-02'
97144266929;941238525;Alberto Lopes;966222004;Praça das Ilusões, 49, 4242-752 Porto;'1997-09-14'
97695988157;547113075;Josué Alves;905646607;Avenida da República, 5, 2649-385 Cascais;'1963-04-24'
84611233685;612885098;Luís Leal;952260303;Avenida das Águias, 97, 2403-576 Leiria;'1988-03-02'
07087604624;732780078;Raul Abreu;922612549;Avenida da República, 86, 2461-730 Leiria;'2007-04-19'
74873634435;980781437;Leonor Nunes;962984160;Praça do Marquês, 46, 4885-274 Guimarães;'1970-01-09'
50958429617;329789860;Fernanda Pereira;968808328;Praça da Alegria, 50, 1043-926 Lisboa;'2009-11-15'
90296168383;209135622;Vera Sousa;993018886;Rua dos Cedros, 19, 9297-128 Funchal;'1963-01-03'
12682659235;271689755;Sónia Cruz;955484824;Praça da Paz, 89, 2858-607 Almada;'1976-04-26'
04057110380;500753965;Vera Machado;953665654;Travessa das Oliveiras, 20, 5464-397 Bragança;'1996-05-23'
25688275094;080684062;David Moreira;943447679;Praça de Espanha, 79, 4337-358 Porto;'2021-12-01'
40081542114;815766904;Rita Mota;950450154;Avenida Central, 99, 2647-491 Cascais;'1999-10-23'
98025298248;933578159;Helena Tavares;957287924;Praça da Sé, 59, 2650-125 Amadora;'1951-10-20'
90581693224;838096204;Filipa Cordeiro;920892349;Rua das Palmeiras, 81, 7247-777 Évora;'1975-05-26'
40728480488;039804947;Artur Cabral;926033511;Avenida das Águias, 47, 2884-807 Almada;'1988-02-09'
54559981629;408102013;Sónia Rodrigues;984674637;Avenida dos Aliados, 38, 7232-174 Évora;'2016-04-04'
86532972534;486898948;Vanessa Silva;971123190;Avenida da Montanha, 69, 4024-943 Porto;'1962-02-20'
16326601864;019351512;Maria Moura;946430154;Avenida das Fontes, 24, 2908-959 Setúbal;'1952-11-08'
54346068410;870244332;Artur Teles;943002087;Rua dos Girassóis, 40, 5397-995 Bragança;'2020-06-20'
18395949800;444277605;Fernando Alves;989160132;Rua das Amendoeiras, 30, 9045-795 Funchal;'1998-03-08'
62660605945;332418351;Eva Abreu;906960109;Praça do Marquês, 89, 9365-782 Funchal;'2020-02-27'
24451305416;393547167;Lara Borges;926327566;Rua dos Jasmins, 25, 5663-943 Bragança;'1967-07-15'
60046237307;958315850;Tatiana Matos;959622044;Praça da Serenidade, 63, 4250-584 Porto;'1968-09-07'
15874926244;407942994;Eduardo Correia;922325122;Avenida dos Ventos, 60, 2650-848 Amadora;'1988-02-19'
67291034021;751109263;Liliana Pereira;934464831;Travessa da Felicidade, 84, 5585-018 Bragança;'1971-07-12'
65305775980;698326994;Luís Caldeira;934112169;Avenida dos Ventos, 35, 2913-067 Setúbal;'1992-03-11'
06594251144;590789484;Diana Reis;942352333;Travessa das Papoilas, 12, 3174-344 Coimbra;'1954-07-01'
82038573778;048304552;Pedro Lourenço;919752345;Avenida das Fontes, 99, 2826-138 Almada;'1997-12-15'
01941355614;789536381;Teresa Vaz;977386508;Travessa do Horizonte, 74, 2780-427 Oeiras;'2015-12-15'
38127434142;829442814;Nuno Henriques;944008712;Rua das Margaridas, 61, 2780-667 Oeiras;'2013-04-11'
13650190096;330949689;Tatiana Ribeiro;906241288;Praça de Espanha, 44, 4869-491 Braga;'1986-03-10'
57938397057;108982212;Catarina Matos;937019173;Praça dos Desejos, 15, 1931-492 Lisboa;'1971-01-12'
84809284218;484083583;Eduardo Oliveira;920918523;Praça da Paz, 23, 4406-586 Vila Nova de Gaia;'1983-05-15'
15941258573;430919545;Simone Santos;913107126;Praça da Sé, 28, 1084-442 Lisboa;'1952-01-29'
92306446996;086465443;Catarina Cunha;902727082;Rua das Orquídeas, 72, 2915-489 Setúbal;'1971-07-07'
00483974732;642101066;Jacinto Estevão;980283936;Travessa da Felicidade, 58, 2650-696 Amadora;'1965-02-10'
58046567071;737634615;Bianca Barbosa;996129261;Praça da Sé, 28, 2968-016 Setúbal;'1957-04-05'
72000228663;005781222;Marisa Henriques;901366680;Travessa do Ouro, 59, 5616-841 Bragança;'1993-05-19'
95626340168;878028253;José Silva;956649421;Travessa dos Lírios, 92, 1747-488 Lisboa;'2012-06-03'
80795432412;366440205;Júlia Matos;941340221;Avenida dos Descobrimentos, 64, 2493-287 Leiria;'1993-06-30'
44200726839;737590594;Carolina Matos;992342722;Avenida dos Oceanos, 59, 7061-970 Évora;'1967-08-14'
38518310343;298631993;Vera Martins;921394464;Travessa do Horizonte, 29, 2464-218 Leiria;'2008-10-21'
33871601422;982039081;Artur Cunha;980134793;Travessa dos Lírios, 11, 4858-832 Guimarães;'1960-09-05'
27804734011;166365728;Tânia Paulino;965359155;Praça da Serenidade, 30, 8369-748 Faro;'1978-07-28'
74244413268;038329048;Eva Neves;980117481;Travessa das Papoilas, 38, 4929-801 Viana do Castelo;'2014-11-08'
98454499130;174520333;Carla Rodrigues;984150587;Travessa da Felicidade, 97, 2646-926 Cascais;'1971-04-10'
44819220049;124749370;Tânia Oliveira;976244106;Avenida dos Ventos, 55, 7271-873 Évora;'1990-01-29'
65205479909;043015927;Artur Machado;912144013;Praça do Sonho, 29, 2426-653 Leiria;'2015-01-06'
77587960876;763416236;Marisa Gomes;943658777;Travessa do Sol, 88, 5667-015 Bragança;'1960-02-28'
97164855480;934528730;Vanessa Almeida;956004675;Praça do Sonho, 66, 2712-438 Sintra;'2018-08-28'
90521326973;205724734;Teresa Duarte;985777844;Rua das Amendoeiras, 35, 8381-714 Faro;'2004-01-18'
70799065332;456400687;Hélder Rocha;932628068;Avenida das Fontes, 28, 4332-668 Porto;'1997-01-04'
05766457788;207636262;Júlio Machado;938187664;Travessa dos Rios, 67, 2429-182 Leiria;'2001-04-04'
17195458502;383376340;Margarida Araújo;931442381;Praça das Ilusões, 3, 7030-252 Évora;'1979-06-11'
61485387744;420948239;José Ramos;972484535;Praça do Marquês, 56, 2951-211 Setúbal;'2000-02-05'
92101913654;729689641;Rosa Borges;938608428;Travessa do Horizonte, 17, 1560-955 Lisboa;'1966-01-16'
61930023514;236501783;Helena Cruz;988473569;Travessa das Sombras, 84, 2715-757 Sintra;'1991-07-18'
48260809553;295060951;Lara Pereira;900521271;Travessa dos Rios, 7, 3052-513 Coimbra;'2016-07-20'
16730397462;336687063;Isabel Marques;901968906;Avenida da Praia, 95, 4853-103 Guimarães;'1999-12-16'
65656038019;943224564;Sofia Pinto;971256750;Avenida Central, 20, 9319-544 Funchal;'1953-07-21'
80595902465;982136216;Manuel Braga;972290553;Praça da Sé, 60, 2711-778 Sintra;'2023-06-16'
02868311002;238736760;Jacinto Rosa;951109764;Avenida da República, 99, 2780-595 Oeiras;'1998-03-12'
56082589420;461029197;António Rosa;971060652;Avenida das Acácias, 5, 4806-189 Guimarães;'2007-11-17'
95638579957;161489317;Jorge Correia;960316810;Travessa do Sol, 41, 2650-901 Amadora;'2008-12-28'
29176831398;512694720;Daniela Cunha;947257572;Avenida das Rosas, 17, 5065-858 Braga;'1960-05-17'
98820439214;877086508;Eduarda Brito;901046960;Travessa das Marés, 29, 1460-859 Lisboa;'1986-08-15'
45520055342;258896767;Diana Vieira;941437431;Travessa dos Rios, 20, 2879-127 Almada;'1994-06-11'
56275392501;878861220;José Lourenço;918255283;Praça da Harmonia, 94, 9329-588 Funchal;'1991-02-22'
80380918386;453379111;Daniel Cunha;918612435;Praça da Liberdade, 44, 7394-665 Évora;'1984-02-25'
49004540398;455482156;Dinis Lourenço;937655358;Rua dos Jasmins, 87, 7222-663 Évora;'2018-07-08'
07093248330;959926203;João Martins;992736975;Travessa do Ouro, 5, 4623-449 Vila Nova de Gaia;'2020-07-05'
53849550739;116968552;Lara Leal;951585443;Travessa das Papoilas, 11, 7129-533 Évora;'2004-06-09'
63141979539;560669865;David Henriques;985830168;Travessa dos Rios, 86, 4422-301 Vila Nova de Gaia;'2019-03-23'
60441743565;835497876;Maria Valente;962958778;Travessa das Sombras, 10, 4930-230 Braga;'1961-09-04'
92231396757;752214304;Maria Jesus;979348169;Avenida da Praia, 47, 3001-325 Coimbra;'1991-02-17'
00584762470;413615848;Beatriz Paiva;986117131;Praça da Liberdade, 29, 4959-803 Braga;'1985-09-03'
31835584579;059179087;Fernando Rosa;954333703;Avenida da Praia, 40, 8351-194 Faro;'1976-08-26'
24833640253;369528343;Rita Machado;954683307;Travessa das Rosas, 83, 5092-735 Braga;'2013-02-10'
33801581209;943900250;Daniel Henriques;921401701;Travessa dos Rios, 34, 2780-379 Oeiras;'2012-03-01'
90260254766;480296287;Fábio Lopes;978163262;Avenida dos Ventos, 97, 1565-043 Lisboa;'1957-02-18'
59158122431;719267284;Filipa Quaresma;924924227;Praça das Ilusões, 31, 2780-199 Oeiras;'1981-06-13'
61806325942;652071944;Kevin Miranda;915962796;Avenida da Praia, 18, 8365-137 Faro;'1957-05-29'
18041715782;768042580;Andreia Santana;971906361;Avenida das Fontes, 63, 7040-434 Évora;'1951-08-17'
88851993542;069924511;Helena Fonseca;979780396;Praça das Ilusões, 10, 2437-574 Leiria;'1972-09-28'
06490338445;013958067;Bianca Brito;912584760;Rua das Tulipas, 87, 2715-104 Sintra;'1961-04-25'
86489020964;108856280;Rui Correia;994134881;Travessa do Mar, 15, 2497-819 Leiria;'2015-04-21'
14839355153;534971435;Jacinto Mota;992606244;Travessa do Bosque, 56, 2780-657 Oeiras;'2011-05-12'
56467176255;530200178;Mónica Alves;905764889;Avenida dos Oceanos, 72, 2979-747 Setúbal;'1976-02-12'
32382955745;520964494;Leonardo Gaspar;905009916;Praça da Sé, 78, 2650-430 Amadora;'1952-09-18'
47815566894;031038593;Manuel Bento;942004196;Rua das Magnólias, 40, 2710-760 Sintra;'2009-05-26'
65391026097;089114525;Diana Gonçalves;968241039;Travessa do Ouro, 96, 2710-716 Sintra;'1993-06-20'
79661333813;107775894;Lara Ribeiro;919258712;Rua das Violetas, 32, 4067-037 Porto;'1955-07-11'
67454948217;117897693;Eduardo Neves;901694249;Avenida da República, 10, 7013-895 Évora;'1999-05-16'
56959676405;886912615;Ricardo Brito;924822666;Avenida das Colinas, 49, 7370-241 Évora;'1970-09-25'
59998933709;290762701;Fábio Rosa;927377353;Praça do Sonho, 87, 4817-898 Guimarães;'1999-06-26'
94211612821;609309904;Sofia Leal;921160479;Avenida Central, 89, 4790-561 Vila Nova de Gaia;'2021-03-23'
46543331550;163490683;Patrícia Quaresma;922821657;Travessa das Papoilas, 91, 2645-810 Cascais;'2023-06-07'
70744497191;236033649;Liliana Oliveira;902343335;Avenida dos Oceanos, 5, 2647-583 Cascais;'2016-09-19'
90253035587;714387715;Sofia Amorim;989323908;Avenida dos Pássaros, 11, 4581-748 Vila Nova de Gaia;'1989-06-22'
88898962511;906683315;António Pereira;978234727;Praça das Estrelas, 22, 4006-288 Porto;'1966-11-30'
17369535095;623971612;Catarina Mota;986623368;Avenida das Fontes, 19, 2650-656 Amadora;'1970-08-20'
36504141915;330885931;Carla Ribeiro;978962397;Avenida dos Descobrimentos, 38, 2645-149 Cascais;'2001-01-19'
40102847524;917839290;Filipa Rosa;912363237;Rua das Magnólias, 47, 2645-485 Cascais;'2007-07-05'
68980122334;389820326;Jacinto Santos;960916617;Travessa dos Rios, 79, 9193-150 Funchal;'2007-03-30'
76143499293;912258191;Andreia Cabral;978664595;Rua das Tulipas, 95, 2650-591 Amadora;'2013-05-26'
32553386294;013686496;Carolina Figueiredo;912728945;Avenida das Colinas, 65, 7077-267 Évora;'1996-10-17'
09959758613;782669308;Eva Pires;939900187;Avenida dos Oceanos, 94, 5440-646 Bragança;'2015-10-25'
